username,text,created_at,retweets,likes,search_terms
Governo de S. Paulo,"Antes e depois da Rodovia Osni Mateus (SP 261) 🚧

O @governosp entregou as obras de melhoria da rodovia que liga os municípios de Borebi e Lençóis Paulista, na região de Bauru. A obra é uma das 1.500 contempladas pelo #SPPraTodaObra, o maior programa de modernização rodoviária https://t.co/R3mPtoffLL",2025-04-15 22:23:09+00:00,5,22,obra
Tarcísio Gomes de Freitas,"JÁ VIU COMO FICOU A RODOVIA OSNI MATEUS? O São Paulo Pra Toda Obra chegou à região de Bauru dois meses antes do previsto para liberar mais de 27 km de extensão na SP 261, que vão ligar as cidades de Borebi e Lençóis Paulista. O maior programa de modernização rodoviária da https://t.co/ETYqBPWI5H",2025-04-16 13:00:38+00:00,689,3706,obra
g1 Bauru,"Idoso morre em acidente envolvendo carro e kombi em rodovia
https://t.co/c1QzBA0LPr

#g1 #Itápolis #Ibitinga https://t.co/OFsj8hui7c",2025-04-16 15:39:15+00:00,0,0,"acidente, carro, morre"
g1 Bauru,"🚨Sacrário é furtado de igreja e encontrado intacto em Ibirarema
https://t.co/zBTFFohKgR https://t.co/u8ZnDQqhlt",2025-04-16 22:14:51+00:00,0,1,furtado
Ac1d An4h ☣︎,meu deus 2 paneleiro de bauru foram preso espero que morram,2025-04-17 12:25:42+00:00,0,14,preso
g1 Bauru,"Jovem morre após perder o controle da direção, rodopiar na pista e bater de frente com caminhão no interior de SP https://t.co/NbjlX8A71q #g1 #Queiroz",2025-04-19 18:22:37+00:00,0,1,"caminhão, morre"
g1 Bauru,"🦟Apenas 11% do público-alvo se vacinou contra a dengue em Marília; município já registrou quase 7 mil casos da doença
https://t.co/zRowyNMQ3t #g1 #Marília https://t.co/eVaPQQoCi8",2025-04-20 21:24:19+00:00,0,1,dengue
g1 Bauru,"🏞️ Alunos de Barra Bonita

Estudantes criam coletor ecológico de água que será usado no Rio Tietê https://t.co/Rq0LjT2enQ #g1bauru",2025-04-21 12:32:20+00:00,0,0,água
Metrópoles,"➡️ Larica pelos Correios: jovem envia haxixe escondido em doce de leite

Jovem de 18 anos enviou pelos Correios embalagens de doce de leite com porções de maconha e haxixe. A mercadoria foi enviada a Bauru (SP)

Leia: https://t.co/2arPUoKvQY https://t.co/n6B1W5kPPs",2025-04-22 17:35:25+00:00,0,7,maconha
g1 Bauru,"Homem é preso suspeito de agredir enteado em Bastos
https://t.co/kGbM7zUObS

#g1 #Bastos https://t.co/9JRQef4uke",2025-04-23 18:19:37+00:00,0,0,preso
g1 Bauru,"🚨 Pedreiro morre soterrado em obra em Duartina
https://t.co/bieJGwENag #g1 #duartina https://t.co/kxx249ootr",2025-04-24 22:18:33+00:00,0,1,"morre, obra"
g1 Bauru,"Brasileira viaja ao Vaticano para bênção de Páscoa e é surpreendida pela morte do papa no dia seguinte: 'Difícil de assimilar'
https://t.co/8wzjGjaGJk

#g1 #Ourinhos #PapaFrancisco https://t.co/SbvdhLBF44",2025-04-25 12:04:39+00:00,0,1,morte
gab,"indo pra Bauru com o Bruno e ele “nossa mor, tem um radar daqui 540 metros” e eu “a deve ser lá em Lençóis, tá longe ainda” (tava quase na nossa frente)",2025-04-25 15:28:42+00:00,0,3,radar
Ney,"@Luiza22Brasil @JeffreyChiquini Se mantiveram um cara preso por longos meses por uma nota de jornal sobre uma ""duvidosa"" viagem para os EUA, que por si só não é crime, não duvido de mais nada.",2025-04-25 20:11:48+00:00,0,2,"crime, preso"
g1 Bauru,Mulher é presa suspeita de furtar morfina e fentanil da Santa Casa de Cabreúva https://t.co/Cfu0fAM10t #g1 #Cabreúva,2025-04-25 20:42:29+00:00,0,0,presa
ONG Olhar Animal,"Após enforcar cadela e ameaçar vizinhas, homem armado com faca é preso em Bauru, SP https://t.co/Vw00fIlst7",2025-04-26 13:06:00+00:00,0,3,preso
Polícia Militar do Estado de São Paulo,"Casal é preso com mais de 117 kg de maconha na SP-300 em Bauru/SP
Confira: https://t.co/gGBkvRqG03 https://t.co/i7zZHWxGq9",2025-04-26 13:57:16+00:00,24,165,"maconha, preso"
g1 Bauru,"⛲ Água potável e tratamento de esgoto

Cidades da região aderem ao programa de consórcios para aumentar acesso ao saneamento https://t.co/EawxqqFDcd #g1bauru",2025-04-26 14:58:43+00:00,1,2,"esgoto, água"
g1 Bauru,"🚨Casal é preso após ser flagrado transportando mais de 115 kg de maconha em Bauru
https://t.co/UPXgKw4BZC",2025-04-26 22:10:23+00:00,0,2,"maconha, preso"
Léo Vilhena ✠ ,Casal é preso após ser flagrado transportando 115 kg de maconha em Bauru https://t.co/a1FWHwu1tj via @redegni,2025-04-27 12:31:48+00:00,0,1,"maconha, preso"
g1 Bauru,"🛣️Pedestre morre atropelado por carreta na Rodovia Marechal Rondon em Bauru
https://t.co/hGz3nslv9u #g1 #Bauru",2025-04-27 13:40:04+00:00,0,1,"morre, pedestre"
Estradas.com.br,"Pedestre é atropelado e morto sob passarela na SP-300, em Bauru https://t.co/FxXItnGHmc via @sosestradas @artespsp @RodoviariaPMESP @Senatran @ABRAMET @RenanFilho_",2025-04-27 15:43:23+00:00,0,0,"morto, pedestre"
culi,compro ingresso final da superliga feminina de vôlei no ibirapuera osasco x bauru caso de vida ou morte https://t.co/6qYzHfSl6B,2025-04-27 17:15:49+00:00,0,5,morte
Rede GNI 𝕏 ,"Casal é preso após ser flagrado transportando 115 kg de maconha em Bauru Ocorrência foi registrada na Rodovia Marechal Rondon (SP-300), em Bauru (SP). Casal tentou fugir ao receber sinal de parada pela Polícia Rodoviária. https://t.co/calTd2Lpum",2025-04-27 18:55:01+00:00,1,2,"maconha, polícia, preso"
g1 Bauru,Núcleo de atendimento às vítimas de violência é inaugurado em Bauru pelo Ministério Público https://t.co/jqVhdaCcKZ #g1 #Bauru,2025-04-27 21:03:38+00:00,0,2,violência
